segment_id,entity,period,demand_metric_id,demand_value,demand_unit,supply_metric_id,supply_value,supply_unit,supply_shortage_ratio,formula,confidence,source_metric_ids,note
power_cooling,Global data centers,2024,global_dc_electricity_consumption,415,TWh,,,,,N/A,Medium,global_dc_electricity_consumption,IEA estimates 2024 data center electricity consumption at around 415 TWh.
power_cooling,Global data centers,2030E,global_dc_electricity_consumption_base_case,945,TWh,,,,,N/A,Medium,global_dc_electricity_consumption_base_case,IEA Base Case projects global data center electricity consumption around 945 TWh by 2030.
power_cooling,Global data centers,2024-2030E,global_dc_electricity_cagr,15,% per year,,,,,N/A,Medium,global_dc_electricity_cagr,IEA states data center electricity demand grows around 15 percent per year in the Base Case.
power_cooling,Accelerated servers,2024-2030E,accelerated_server_electricity_growth,30,% per year,,,,,N/A,Medium,accelerated_server_electricity_growth,IEA projects accelerated server electricity consumption to grow by around 30 percent annually in the Base Case.
hbm,HBM market,2025,hbm_tam,35,USD bn,,,,,N/A,Medium,hbm_tam,Micron forecast HBM TAM from approximately USD 35bn in 2025.
hbm,HBM market,2028E,hbm_tam,100,USD bn,,,,,N/A,Medium,hbm_tam,Micron forecast HBM TAM around USD 100bn in 2028.
hbm,HBM market,2025-2028E,hbm_tam_cagr,40,% per year,,,,,N/A,Medium,hbm_tam_cagr,Micron forecast roughly 40 percent CAGR for HBM TAM through calendar 2028.
ai_accelerator,NVIDIA,Q1 FY2027,nvidia_total_revenue,81.615,USD bn,,,,,N/A,Medium,nvidia_total_revenue;nvidia_total_revenue_growth;nvidia_data_center_revenue;nvidia_data_center_revenue_growth,NVIDIA reported Q1 FY2027 revenue of USD 81.615bn. / NVIDIA reported total revenue up 85 percent year over year. / NVIDIA reported record Data Center revenue of USD 75.2bn. / NVIDIA reported Data Center revenue up 92 percent year over year.
networking_asic,Broadcom,Q4 FY2025,broadcom_ai_semiconductor_revenue_growth,74,% YoY,,,,,N/A,Medium,broadcom_ai_semiconductor_revenue_growth,Broadcom CEO commentary attributed Q4 revenue growth primarily to AI semiconductor revenue increasing 74 percent year over year.
networking_asic,Marvell,FY2026,marvell_revenue_growth,42,% YoY,,,,,N/A,Medium,marvell_revenue_growth,Marvell stated FY2026 revenue grew 42 percent year over year driven by robust AI demand.
foundry,TSMC,FY2025,,,,tsmc_3nm_total_wafer_revenue_share,24,%,,N/A,Medium,tsmc_3nm_total_wafer_revenue_share;tsmc_advanced_technology_revenue_share;tsmc_wafer_shipments;tsmc_annual_capacity,TSMC stated 3-nanometer technologies represented 24 percent of total wafer revenue in 2025. / TSMC stated 7nm and beyond accounted for 74 percent of total wafer revenue in 2025. / TSMC reported 15.0 million 12-inch equivalent wafer shipments in 2025. / TSMC stated annual capacity of facilities managed by TSMC and subsidiaries exceeded 17 million 12-inch equivalent wafers in 2025.
server_odm_oem,Dell Technologies,Q1 FY2027,dell_ai_optimized_servers_revenue,16.132,USD bn,,,,,N/A,Medium,dell_ai_optimized_servers_revenue;dell_ai_optimized_servers_revenue_growth,Dell reported Q1 FY2027 AI-optimized servers revenue of USD 16.132bn. / Dell reported AI-optimized servers revenue up 757 percent year over year.
