"Vintage","ClassCount","RepresentativeProductCount","ManagerCount","NetAssets","RepresentativeNetAssets","AvgOneMonth","AvgYTD","AvgOneYear","AvgThreeYear","AvgFiveYear","TotalFlow1YCashFlow","TotalFlow3YCashFlow","AvgRisk1YSharpe","AvgRisk3YSharpe","AvgRisk1YStdDev","AvgRisk3YStdDev","AvgAllocationEquityPct","AvgAllocationBondPct","AvgAllocationFundSecuritiesPct","AvgAllocationLiquidityPct","AvgAllocationETFPct","TopOneYearFund","TopOneYearManager","TopOneYear","TopThreeYearFund","TopThreeYearManager","TopThreeYear","TopRisk1YSharpeFund","TopRisk1YSharpeManager","TopRisk1YSharpe"
"2015","24","2","2","2204.31","1192.25","4.515","8.835","15.505","32.465","19.545","-82.88","-313.03","1.915","1.03","5.995","5.825","0","0","69.176385","3.500192","30.230382","한국투자TDF알아서2015(채혼-재간접)(C-R)","한국투자신탁운용","18.21","한국투자TDF알아서2015(채혼-재간접)(C-R)","한국투자신탁운용","36.27","한국투자TDF알아서2015(채혼-재간접)(C-R)","한국투자신탁운용","2.07"
"2020","45","6","4","5573.33","3046.54","4.503333","9.6","17.681667","35.033333","23.455","-269.11","-932.01","2.383333","1.148333","5.678333","5.796667","0","0","87.330092","1.960875","11.637522","KB온국민TDF2020(채혼-재간접)C-퇴직","KB운용","20.83","KB온국민TDF2020(채혼-재간접)C-퇴직","KB운용","39.64","한화LIFEPLUSTDF2020자(채혼-재간접)종류C-RPE(퇴직연금)","한화운용","2.97"
"2025","121","12","10","26035.91","10868.79","3.909167","9.185833","17.925","37.530833","27.863636","-1140.46","-2113.98","2.459167","1.206667","5.553333","6.105833","0.752246","0","73.626953","3.360577","30.258457","미래에셋전략배분적격TDF2025혼합자산자종류C-P2","미래에셋운용","21.6","KB온국민적격TDF2025(채혼-재간접)C-퇴직","KB운용","40.91","미래에셋전략배분적격TDF2025혼합자산자종류C-P2","미래에셋운용","3.11"
"2030","202","27","16","59452.65","32371.12","6.331852","13.89037","25.56037","51.255185","41.835","8954.38","16344.57","2.644815","1.38963","7.327778","7.417407","0.318002","0","81.21896","2.137971","19.24188","KB다이나믹적격TDF2030자(주혼-재간접)O-퇴직","KB운용","38.82","마이다스기본적격TDF2030혼합자산자C-Pe2","마이다스운용","69.26","마이다스기본적격TDF2030혼합자산자C-Pe2","마이다스운용","4.16"
"2035","164","19","14","44134.42","22246.96","7.161053","15.882632","29.733158","57.748947","50.992","6103.71","9798.25","2.622632","1.354737","8.641053","8.640526","0.495536","0","79.743458","3.089766","20.262791","KCGI프리덤적격TDF2035자[주혼-재간접]종류C-Pe2","KCGI운용","47.43","KCGI프리덤적격TDF2035자[주혼-재간접]종류C-Pe2","KCGI운용","78.34","한화LIFEPLUS적격TDF2035(주혼-재간접)C-RPE(퇴직연금)","한화운용","3.63"
"2040","199","26","15","43882.16","26993.94","8.094231","17.875385","33.490769","66.204615","56.365625","7564.84","12281.09","2.757692","1.431923","9.294615","9.402308","0.317611","0","82.044958","2.393098","17.588765","KCGI프리덤적격TDF2040자[주혼-재간접]종류C-Pe2","KCGI운용","49.95","KB다이나믹적격TDF2040자(주혼-재간접)O-퇴직","KB운용","85.46","키움KIWOOM적격TDF2040액티브상장지수[주혼-재간접]","키움투자운용","3.82"
"2045","163","17","13","50924.29","28047.03","8.538824","19.046471","35.446471","70.012353","61.670833","7541.75","10301.91","2.692353","1.422353","10.060588","10.021765","0.483738","0","80.704029","2.739256","19.089155","KCGI프리덤적격TDF2045자[주혼-재간접]종류C-Pe2","KCGI운용","55.76","KCGI프리덤적격TDF2045자[주혼-재간접]종류C-Pe2","KCGI운용","90.64","한화LIFEPLUS적격TDF2045(주혼-재간접)C-RPE(퇴직연금)","한화운용","3.86"
"2050","202","28","15","62395.92","49747.49","9.272857","21.147143","39.309286","77.184643","67.67625","24613.83","33511.95","2.951071","1.531071","10.086429","10.103214","0.293928","0","84.184269","2.475971","15.008836","마이다스기본적격TDF2050혼합자산자C-Pe2","마이다스운용","62.88","마이다스기본적격TDF2050혼합자산자C-Pe2","마이다스운용","109.91","마이다스기본적격TDF2050혼합자산자C-Pe2","마이다스운용","4.34"
"2055","88","13","8","19285.57","16063.29","9.420769","20.483846","38.276154","78.995455","72.713333","6718.53","10628.17","2.761538","1.545455","10.498462","10.229091","0.679282","0","79.928788","3.447265","18.059753","KB온국민적격TDF2055자(주혼-재간접)(UH)C-퇴직e","KB운용","52.39","KB온국민적격TDF2055자(주혼-재간접)(UH)C-퇴직e","KB운용","106.1","KB온국민적격TDF2055자(주혼-재간접)(UH)C-퇴직e","KB운용","3.63"
"2060","16","4","2","6715.08","6204.64","9.9675","22.28","41.075","87.07","","2594.95","4655.76","2.965","1.6725","10.475","10.3325","0","0","68.614044","1.758108","30.140248","한국투자적격TDF알아서2060자UH(주혼-재간접)(C-Re)","한국투자신탁운용","47.28","한국투자적격TDF알아서ETF포커스2060(주혼-재간접)(C-Re)","한국투자신탁운용","97.4","한화PLUS적격TDF2060액티브상장지수(주혼-재간접)","한화운용","3.49"
